MODEL_NAME,DT_MEASURE,dt_workday,rod_dia1_diam,rod_dia1_cirlty,rod_dia1_perp,rod_dia1_cylcty,rod_dia2_y,rod_dia2_x,rod_dia2_diam,rod_dia2_dist,rod_bhpl_y,rod_bhpl_z,rod_bhpl_diam,rod_bhpr_z,rod_bhpr_diam,rod_bhpr_y,rod_bhpr_dist,rod_lr_symm,rod_cap_hl,rod_cap_hr,rod_phpl_y1,rod_phpl_z1,rod_phpl_y2,rod_phpl_z2,rod_phpl_diam,rod_phpr_y1,rod_phpr_z1,rod_phpr_y2,rod_phpr_z2,rod_phpr_diam,cap_dia2_y,cap_dia2_z,cap_dia2_x,cap_dia2_diam,cap_bhpr_y,cap_bhpr_z,cap_bhpr_diam,cap_bhpr_perp,cap_bhpl_z,cap_bhpl_y,cap_bhpl_diam,cap_bhpl_perp,cap_lr_symm,cap_phpr_y1,cap_phpr_z1,cap_phpr_y2,cap_phpr_z2,cap_phpr_diam,cap_phpl_y1,cap_phpl_z1,cap_phpl_y2,cap_phpl_z2,cap_phpl_diam,cap_rod_hl,cap_rod_hr,test_result
265,"2021-09-01 08:04:00",2021-09-01,50.0175,0.0025,0.0053,0.0034,67.4139,210.599,87.0695,274.9175,12.5086,-21.3212,14.5969,-21.321,14.6026,109.9897,0,0.0896,208.6528,208.6638,12.4866,-35.3671,0.022,14.0458,5.9975,110.0268,28.0051,0.0151,13.959,5.9973,-67.458,0,34.5092,87.075,-12.529,-21.4539,16.525,0,-21.3889,109.996,16.5274,0,0.069,-12.5179,27.995,0.0112,13.9644,5.971,110.0157,-7.4233,0.0086,13.9656,5.9933,36.3829,36.3886,NG
265,"2021-09-01 08:08:00",2021-09-01,50.0176,0.0028,0.0033,0.0029,67.4684,210.6437,87.0896,274.9759,12.5056,-21.4043,14.5944,-21.4039,14.6065,109.9654,0,0.0199,208.6218,208.6231,12.5519,-35.347,0.0464,13.9427,5.9721,110.0238,28.0084,0.1048,14.0653,5.9718,-67.5039,0,34.5099,87.0957,-12.4847,-21.4093,16.517,0,-21.349,110.0373,16.5149,0,0.0005,-12.4693,28.0051,0.0154,13.9621,5.9753,110.0291,-7.3663,0.0237,13.9827,5.9701,36.4379,36.4278,NG
265,"2021-09-01 08:12:00",2021-09-01,50.0168,0.0035,0.0011,0.0035,67.4591,210.6507,87.1014,274.9849,12.499,-21.3698,14.5984,-21.3921,14.6038,109.9936,0,0.0367,208.66,208.6363,12.532,-35.3979,0.033,14.0281,5.9743,110.03,27.9729,0.0694,13.9671,5.9976,-67.4668,0,34.5037,87.0837,-12.517,-21.4104,16.5397,0,-21.3477,110.0349,16.5434,0,0.0677,-12.5125,28.0111,0.0045,13.9682,5.9986,110.0248,-7.3675,0.0145,13.9802,5.9981,36.3881,36.3941,NG
265,"2021-09-01 08:16:00",2021-09-01,50.0163,0.003,0.0015,0.003,67.4818,210.6603,87.0736,274.9975,12.5268,-21.3735,14.5868,-21.3857,14.599,109.9931,0,0.0415,208.6612,208.6516,12.5222,-35.4199,0.0045,14.0465,5.9975,110.0303,28.0092,0.0327,13.9749,5.9977,-67.523,0,34.5625,87.0914,-12.5173,-21.4102,16.5298,0,-21.3888,110.0369,16.543,0,0.0128,-12.5041,27.9982,0.0132,13.9972,5.9983,110.0299,-7.4092,0.0202,13.9796,5.9979,36.4117,36.407,OK
265,"2021-09-01 13:36:00",2021-09-01,50.0191,0.0018,0.0064,0.0025,67.4361,210.638,87.0683,274.9683,12.4911,-21.2142,14.6225,-21.237,14.6209,109.9669,0,0.0385,208.6801,208.6935,12.5026,-35.3798,0.0115,14.1656,5.9985,110.0184,28.0131,0.063,13.8703,5.9981,-67.4727,0,34.5042,87.0769,-12.5172,-21.4678,16.5486,0,-21.3845,110.0517,16.5553,0,0.0704,-12.529,27.9956,0.0117,13.9639,5.9986,110.0187,-7.4361,0.0212,13.9485,5.9984,36.3911,36.4005,NG
265,"2021-09-01 13:40:00",2021-09-01,50.0097,0.0066,0.0019,0.0068,67.4634,210.6585,87.0781,274.9951,12.4977,-21.2599,14.6033,-21.2825,14.6034,109.9635,0,0.016,208.6273,208.6225,12.5665,-35.3705,0.0688,14.1106,5.9978,110.0214,28.0045,0.1266,13.9165,5.998,-67.5104,0,34.4842,87.0691,-12.4939,-21.3953,16.5497,0,-21.3691,110.0172,16.5488,0,0.008,-12.4846,28.0002,0.0092,14.0034,5.9989,110.0147,-7.3985,0.0118,13.9707,5.9981,36.4444,36.4437,NG
265,"2021-09-01 13:46:00",2021-09-01,50.0073,0.019,0.0056,0.019,67.4578,210.6277,87.083,274.9549,12.4539,-21.2604,14.6164,-21.303,14.6168,109.9928,0,0.0075,208.6801,208.6609,12.5488,-35.4164,0.0949,14.156,5.9998,110.0133,27.9963,0.1154,13.8829,5.9953,-67.4685,0,34.4826,87.0735,-12.5436,-21.399,16.5465,0,-21.3205,110.0001,16.5459,0,0.0751,-12.5248,28.004,0.0188,13.9625,5.9957,110.0084,-7.3576,0.0104,13.963,5.9868,36.396,36.404,NG
265,"2021-09-01 13:50:00",2021-09-01,50.0104,0.0057,0.0029,0.0067,67.4932,210.6522,87.0657,274.9869,12.4727,-21.2846,14.6106,-21.2961,14.6116,109.9508,0,0.0451,208.701,208.7156,12.5204,-35.4139,0.0477,14.1293,5.9878,110.0226,28.0011,0.1195,13.8833,5.9942,-67.5254,0,34.5486,87.0715,-12.5355,-21.45,16.547,0,-21.365,110.0344,16.5503,0,0.0273,-12.5202,28.0031,0.0153,13.9545,5.9953,110.0087,-7.4014,0.041,13.9636,5.9973,36.4247,36.4213,NG
265,"2021-09-01 14:35:00",2021-09-01,50.0154,0.0033,0.0035,0.0038,67.421,210.6092,87.0921,274.9308,12.4816,-21.2072,14.592,-21.2182,14.5881,109.9976,0,0.0594,208.6535,208.6543,12.5089,-35.3583,0.0273,14.1511,5.9975,110.0135,27.9937,0.0432,13.8536,5.9977,-67.4647,0,34.4945,87.0889,-12.5296,-21.458,16.5403,0,-21.3786,110.0203,16.5445,0,0.075,-12.5294,27.9975,0.0002,13.9645,5.9998,110.0062,-7.425,0.0142,13.9536,5.9982,36.3961,36.4021,NG
265,"2021-09-01 17:13:00",2021-09-01,50.0125,0.0021,0.0142,0.0358,67.4614,210.6457,87.1323,274.9785,12.4773,-21.2544,14.6041,-21.2774,14.6013,109.9656,0,0.0013,208.6685,208.6748,12.4988,-35.3477,0.0216,14.0933,5.9979,110.0296,27.9879,0.0855,13.9176,5.9976,-67.468,0,34.5043,87.1388,-12.5256,-21.4947,16.5488,0,-21.4072,110.0369,16.5489,0,0.0761,-12.5092,28.0175,0.0164,13.9612,5.9987,110.0341,-7.4385,0.0193,13.9687,5.9942,36.3825,36.3982,NG
