MODEL_NAME,DT_MEASURE,dt_workday,rod_dia1_diam,rod_dia1_cirlty,rod_dia1_perp,rod_dia1_cylcty,rod_dia2_y,rod_dia2_x,rod_dia2_diam,rod_dia2_dist,rod_bhpl_y,rod_bhpl_z,rod_bhpl_diam,rod_bhpr_z,rod_bhpr_diam,rod_bhpr_y,rod_bhpr_dist,rod_lr_symm,rod_cap_hl,rod_cap_hr,rod_phpl_y1,rod_phpl_z1,rod_phpl_y2,rod_phpl_z2,rod_phpl_diam,rod_phpr_y1,rod_phpr_z1,rod_phpr_y2,rod_phpr_z2,rod_phpr_diam,cap_dia2_y,cap_dia2_z,cap_dia2_x,cap_dia2_diam,cap_bhpr_y,cap_bhpr_z,cap_bhpr_diam,cap_bhpr_perp,cap_bhpl_z,cap_bhpl_y,cap_bhpl_diam,cap_bhpl_perp,cap_lr_symm,cap_phpr_y1,cap_phpr_z1,cap_phpr_y2,cap_phpr_z2,cap_phpr_diam,cap_phpl_y1,cap_phpl_z1,cap_phpl_y2,cap_phpl_z2,cap_phpl_diam,cap_rod_hl,cap_rod_hr,test_result
262,2021-10-25 14:10,2021-10-25,48.6205,0.0027,0.0027,0.0027,59.7704,201.0594,74.1649,232.1634,12.6457,-20.1981,12.5253,-20.2947,12.5106,93.9334,0,0.1581,199.2008,199.293,12.6188,-33.433,0.0269,13.2349,6.0005,94.0133,26.0203,0.0531,12.8819,5.9955,-59.5962,33.7171,0,74.1468,-12.6434,-20.3921,14.5027,0,-20.2538,93.9577,14.5028,0,0.026,-12.6192,-33.3385,0.0242,12.9464,5.9995,94.0141,25.9987,0.0322,12.914,5.9987,36.0595,36.0285,NG
262,2021-10-25 14:24,2021-10-25,48.6201,0.0022,0.0062,0.0029,59.6534,200.9999,74.182,232.0947,12.5983,-20.2148,12.5364,-20.2818,12.5109,93.9563,0,0.0769,199.0801,199.0853,12.6112,-33.377,0.0129,13.1621,6.0007,94.024,25.9842,0.0806,12.8891,6.0018,-59.6309,33.8124,0,74.1585,-12.6269,-20.3341,14.5035,0,-20.2767,94.004,14.5042,0,0.002,-12.6088,-33.3287,0.0181,12.9945,6.0004,94.0368,25.9924,0.0147,12.9404,6.0007,36.0652,36.0366,NG
262,2021-10-25 14:32,2021-10-25,48.6145,0.0106,0.0052,0.0107,59.6465,201.016,74.1628,232.1133,12.6398,-20.2009,12.5461,-20.2771,12.5136,93.9825,0,0.0154,199.0637,199.0573,12.6475,-33.4614,0.0076,13.2605,5.9986,94.0214,25.9571,0.0465,12.7728,5.9952,-59.6214,33.7559,0,74.1552,-12.6141,-20.3177,14.5036,0,-20.3609,93.9938,14.5048,0,0.0104,-12.5947,-33.3466,0.0194,13.0289,6.0007,94.0194,26.0016,0.0061,13.0158,5.9993,36.0597,36.0303,NG
262,2021-10-25 14:36,2021-10-25,48.6153,0.0101,0.0012,0.0101,59.624,200.9994,74.15,232.0941,12.5632,-20.2396,12.5413,-20.2777,12.5042,94.0296,0,0.046,199.1074,199.1283,12.6218,-33.4995,0.0586,13.2599,6.0004,94.0018,26.0006,0.0309,12.7788,5.999,-59.614,33.8259,0,74.157,-12.6429,-20.3225,14.5026,0,-20.3042,93.9766,14.5025,0,0.0172,-12.6041,-33.3162,0.0388,12.9938,6.0004,94.0074,25.9981,0.008,12.9861,6,36.0676,36.0328,NG
262,2021-10-25 17:00,2021-10-25,48.6131,0.0191,0.0136,0.0193,59.661,200.9235,74.1693,232.0064,12.6351,-20.2756,12.5378,-20.4108,12.5164,93.9575,0,0.0471,199.1817,199.2436,12.6039,-33.4347,0.0313,13.1592,5.9999,94.0074,26.03,0.0187,13.006,6.0015,-59.6179,34.0018,0,74.1449,-12.6009,-20.3509,14.5292,0,-20.3155,94.013,14.5335,0,0.0105,-12.6127,-33.3242,0.0118,12.9733,6.0009,94.0067,25.9831,0.0055,12.9745,6.0011,36.6261,36.6078,NG
262,2021-10-25 17:08,2021-10-25,48.6163,0.0031,0.0047,0.0031,59.5976,200.9106,74.1711,231.9916,12.5421,-20.3033,12.5474,-20.4033,12.5245,94.0099,0,0.0505,199.0952,199.1122,12.5951,-33.3592,0.053,13.056,6.001,94.0282,25.9602,0.0713,13.0043,6.0014,-59.5864,34.0271,0,74.1478,-12.6059,-20.3321,14.5341,0,-20.3237,94.016,14.5308,0,0.0275,-12.6079,-33.3337,0.002,13.0016,6.0003,94.0172,26.0024,0.0032,12.9923,6.0006,36.0668,36.0445,NG
262,2021-10-25 17:12,2021-10-25,48.6184,0.0055,0.0043,0.0057,59.5759,200.9006,74.1593,231.98,12.572,-20.3186,12.5498,-20.3973,12.5254,94.0306,0,0.0114,199.0514,199.051,12.6185,-33.4603,0.0464,13.1417,6,94.0152,25.9651,0.031,12.902,5.9996,-59.6072,34.0059,0,74.1473,-12.5923,-20.3397,14.5327,0,-20.3282,93.9964,14.5323,0,0.0166,-12.5792,-33.3361,0.0131,12.9965,6.0009,94.0076,25.9901,0.0019,12.9821,6.0012,36.0577,36.0423,NG
262,2021-10-25 17:18,2021-10-25,48.6162,0.0019,0.0037,0.0021,59.5729,200.8923,74.1639,231.9704,12.5559,-20.3761,12.5421,-20.3946,12.5131,94.0283,0,0.0028,199.0756,199.0774,12.5947,-33.4984,0.0388,13.1223,6.0008,94.0088,25.9865,0.0192,12.8826,5.9992,-59.6043,34.013,0,74.1514,-12.5851,-20.3366,14.5298,0,-20.3203,94.0127,14.5338,0,0.0128,-12.583,-33.3185,0.0022,12.9818,6.002,94.0226,25.9914,0.0077,12.9933,6.001,36.0891,36.062,NG
262,2021-10-25 19:52,2021-10-25,48.6172,0.0044,0.0033,0.005,59.6583,200.907,74.1675,231.9874,12.63,-20.2757,12.5258,-20.4031,12.5164,93.9954,0,0.0306,199.0837,199.1213,12.6155,-33.4337,0.0145,13.158,5.998,94.0087,26.0387,0.0013,13.0081,5.997,-59.5763,34.0291,0,74.1519,-12.6114,-20.3813,14.5305,0,-20.342,93.9939,14.5327,0,0.0321,-12.6058,-33.3749,0.0056,12.9936,5.9996,94.0169,26.0023,0.0175,12.9694,5.9944,35.9538,35.9325,NG
262,2021-10-25 19:59,2021-10-25,48.6147,0.006,0.0038,0.0061,59.5916,200.8944,74.1697,231.9729,12.5665,-20.3342,12.5432,-20.3822,12.5144,93.9892,0,0.0305,199.062,199.0631,12.6046,-33.3642,0.0381,13.03,5.9989,94.0269,25.9681,0.0758,12.9861,6.0002,-59.6198,34.0236,0,74.1616,-12.6033,-20.4044,14.5299,0,-20.3715,94.0317,14.5321,0,0.0006,-12.6125,-33.3651,0.0092,12.9607,6.0003,94.0142,25.9908,0.0083,12.9972,5.9993,35.9225,35.9012,NG
262,2021-10-25 20:11,2021-10-25,48.617,0.0051,0.0037,0.0054,59.6591,200.9464,74.1687,232.0329,12.6375,-20.2738,12.5302,-20.3815,12.5084,93.9816,0,0.0308,199.1417,199.1843,12.6187,-33.4365,0.0187,13.1627,5.9989,94.0016,26.0441,0.0013,12.989,6.001,-59.5858,34.018,0,74.1467,-12.6019,-20.3875,14.5309,0,-20.3585,93.9926,14.5327,0,0.0124,-12.6007,-33.3748,0.0012,12.9874,6.0006,94.0084,25.9978,0.0146,12.9815,5.9986,35.9546,35.9364,NG
262,2021-10-25 20:17,2021-10-25,48.6166,0.0027,0.0051,0.0027,59.5957,200.8761,74.1605,231.9517,12.6125,-20.2951,12.5398,-20.3923,12.5127,93.9578,0,0.0043,199.0859,199.0985,12.606,-33.3607,0.0065,13.0655,6.0002,94.0301,25.9505,0.0659,12.9821,6.0002,-59.6257,34.0109,0,74.1549,-12.6231,-20.3711,14.5317,0,-20.3378,94.001,14.5316,0,0.0022,-12.6149,-33.3647,0.0082,12.9936,6.0002,94.0145,25.9839,0.0053,12.9571,5.9998,35.9225,35.9003,NG
262,2021-10-26 8:50,2021-10-26,48.6115,0.0035,0.0052,0.0044,59.5802,200.8999,74.1425,231.9792,12.691,-20.4047,12.5754,-20.465,12.5401,93.9589,0,0.0903,199.0716,199.0648,12.6165,-33.4855,0.0745,13.0808,5.9966,94.0277,25.9761,0.0056,12.9556,5.9966,-59.6238,34.002,0,74.1333,-12.6,-20.3833,14.5234,0,-20.3657,93.9875,14.5321,0,0.03,-12.5776,-33.3794,0.0225,12.996,5.9977,94.0223,26.0024,0.0123,12.9887,5.9969,36.0807,36.0638,NG
