fanuc_doosan_id,process_no,product_id,dt_start,dt_end,dt_change_tool,dt_workday
1,50,5,2021-09-01 13:49,2021-09-01 13:50,0000-00-00 00:00:00,2021-09-01
2,20,5,2021-09-01 13:49,2021-09-01 13:52,0000-00-00 00:00:00,2021-09-01
3,30,5,2021-09-01 13:49,2021-09-01 13:52,0000-00-00 00:00:00,2021-09-01
4,40,5,2021-09-01 13:49,2021-09-01 13:54,0000-00-00 00:00:00,2021-09-01
5,90,5,2021-09-01 13:49,2021-09-01 13:54,0000-00-00 00:00:00,2021-09-01
6,20,5,2021-09-01 13:52,2021-09-01 13:56,0000-00-00 00:00:00,2021-09-01
7,50,5,2021-09-01 13:50,2021-09-01 13:57,0000-00-00 00:00:00,2021-09-01
8,30,5,2021-09-01 13:52,2021-09-01 13:57,0000-00-00 00:00:00,2021-09-01
9,40,5,2021-09-01 13:54,2021-09-01 13:58,0000-00-00 00:00:00,2021-09-01
10,90,5,2021-09-01 13:54,2021-09-01 14:00,0000-00-00 00:00:00,2021-09-01
11,50,5,2021-09-01 13:57,2021-09-01 14:01,0000-00-00 00:00:00,2021-09-01
12,20,5,2021-09-01 13:56,2021-09-01 14:01,0000-00-00 00:00:00,2021-09-01
13,30,5,2021-09-01 13:57,2021-09-01 14:02,0000-00-00 00:00:00,2021-09-01
14,40,5,2021-09-01 13:58,2021-09-01 14:02,0000-00-00 00:00:00,2021-09-01
15,90,5,2021-09-01 14:00,2021-09-01 14:05,0000-00-00 00:00:00,2021-09-01
16,50,5,2021-09-01 14:01,2021-09-01 14:05,0000-00-00 00:00:00,2021-09-01
17,20,5,2021-09-01 14:01,2021-09-01 14:06,0000-00-00 00:00:00,2021-09-01
18,40,5,2021-09-01 14:02,2021-09-01 14:07,0000-00-00 00:00:00,2021-09-01
19,30,5,2021-09-01 14:02,2021-09-01 14:07,0000-00-00 00:00:00,2021-09-01
20,50,5,2021-09-01 14:05,2021-09-01 14:09,0000-00-00 00:00:00,2021-09-01
21,90,5,2021-09-01 14:05,2021-09-01 14:10,0000-00-00 00:00:00,2021-09-01
22,40,5,2021-09-01 14:07,2021-09-01 14:11,0000-00-00 00:00:00,2021-09-01
23,20,5,2021-09-01 14:06,2021-09-01 14:11,0000-00-00 00:00:00,2021-09-01
24,30,5,2021-09-01 14:07,2021-09-01 14:12,0000-00-00 00:00:00,2021-09-01
25,50,5,2021-09-01 14:09,2021-09-01 14:14,0000-00-00 00:00:00,2021-09-01
26,90,5,2021-09-01 14:10,2021-09-01 14:15,0000-00-00 00:00:00,2021-09-01
27,40,5,2021-09-01 14:11,2021-09-01 14:15,0000-00-00 00:00:00,2021-09-01
28,20,5,2021-09-01 14:11,2021-09-01 14:16,0000-00-00 00:00:00,2021-09-01
29,30,5,2021-09-01 14:12,2021-09-01 14:17,0000-00-00 00:00:00,2021-09-01
30,50,5,2021-09-01 14:14,2021-09-01 14:18,0000-00-00 00:00:00,2021-09-01
31,40,5,2021-09-01 14:15,2021-09-01 14:19,0000-00-00 00:00:00,2021-09-01
32,90,5,2021-09-01 14:15,2021-09-01 14:19,0000-00-00 00:00:00,2021-09-01
33,20,5,2021-09-01 14:16,2021-09-01 14:21,0000-00-00 00:00:00,2021-09-01
34,30,5,2021-09-01 14:17,2021-09-01 14:22,0000-00-00 00:00:00,2021-09-01
35,50,5,2021-09-01 14:18,2021-09-01 14:22,0000-00-00 00:00:00,2021-09-01
36,40,5,2021-09-01 14:19,2021-09-01 14:24,0000-00-00 00:00:00,2021-09-01
37,90,5,2021-09-01 14:19,2021-09-01 14:24,0000-00-00 00:00:00,2021-09-01
38,20,5,2021-09-01 14:21,2021-09-01 14:26,0000-00-00 00:00:00,2021-09-01
39,30,5,2021-09-01 14:22,2021-09-01 14:27,0000-00-00 00:00:00,2021-09-01
40,90,5,2021-09-01 14:24,2021-09-01 14:29,0000-00-00 00:00:00,2021-09-01
41,40,5,2021-09-01 14:24,2021-09-01 14:29,0000-00-00 00:00:00,2021-09-01
42,20,5,2021-09-01 14:26,2021-09-01 14:31,0000-00-00 00:00:00,2021-09-01
43,30,5,2021-09-01 14:27,2021-09-01 14:32,0000-00-00 00:00:00,2021-09-01
44,50,5,2021-09-01 14:25,2021-09-01 14:32,0000-00-00 00:00:00,2021-09-01
45,90,5,2021-09-01 14:29,2021-09-01 14:34,0000-00-00 00:00:00,2021-09-01
46,40,5,2021-09-01 14:29,2021-09-01 14:34,0000-00-00 00:00:00,2021-09-01
47,20,5,2021-09-01 14:31,2021-09-01 14:36,0000-00-00 00:00:00,2021-09-01
48,30,5,2021-09-01 14:32,2021-09-01 14:36,0000-00-00 00:00:00,2021-09-01
49,90,5,2021-09-01 14:34,2021-09-01 14:38,0000-00-00 00:00:00,2021-09-01
50,50,5,2021-09-01 14:34,2021-09-01 14:39,0000-00-00 00:00:00,2021-09-01
51,40,5,2021-09-01 14:34,2021-09-01 14:41,0000-00-00 00:00:00,2021-09-01
52,90,5,2021-09-01 14:38,2021-09-01 14:43,0000-00-00 00:00:00,2021-09-01
53,50,5,2021-09-01 14:39,2021-09-01 14:44,0000-00-00 00:00:00,2021-09-01
54,20,5,2021-09-01 14:36,2021-09-01 14:45,0000-00-00 00:00:00,2021-09-01
55,30,5,2021-09-01 14:36,2021-09-01 14:46,0000-00-00 00:00:00,2021-09-01
56,90,5,2021-09-01 14:43,2021-09-01 14:48,0000-00-00 00:00:00,2021-09-01
57,40,5,2021-09-01 14:41,2021-09-01 14:49,0000-00-00 00:00:00,2021-09-01
58,20,5,2021-09-01 14:45,2021-09-01 14:49,0000-00-00 00:00:00,2021-09-01
59,50,5,2021-09-01 14:44,2021-09-01 14:51,0000-00-00 00:00:00,2021-09-01
60,30,5,2021-09-01 14:46,2021-09-01 14:51,0000-00-00 00:00:00,2021-09-01
61,90,5,2021-09-01 14:48,2021-09-01 14:52,0000-00-00 00:00:00,2021-09-01
62,20,5,2021-09-01 14:49,2021-09-01 14:55,0000-00-00 00:00:00,2021-09-01
63,30,5,2021-09-01 14:51,2021-09-01 14:56,0000-00-00 00:00:00,2021-09-01
64,90,5,2021-09-01 14:52,2021-09-01 14:57,0000-00-00 00:00:00,2021-09-01
65,50,5,2021-09-01 14:53,2021-09-01 14:58,0000-00-00 00:00:00,2021-09-01
66,20,5,2021-09-01 14:55,2021-09-01 14:59,0000-00-00 00:00:00,2021-09-01
67,40,5,2021-09-01 14:49,2021-09-01 15:00,0000-00-00 00:00:00,2021-09-01
68,50,5,2021-09-01 14:58,2021-09-01 15:03,0000-00-00 00:00:00,2021-09-01
69,30,5,2021-09-01 14:58,2021-09-01 15:03,0000-00-00 00:00:00,2021-09-01
70,20,5,2021-09-01 14:59,2021-09-01 15:06,0000-00-00 00:00:00,2021-09-01
71,40,5,2021-09-01 15:00,2021-09-01 15:06,0000-00-00 00:00:00,2021-09-01
72,30,5,2021-09-01 15:03,2021-09-01 15:08,0000-00-00 00:00:00,2021-09-01
73,50,5,2021-09-01 15:03,2021-09-01 15:09,0000-00-00 00:00:00,2021-09-01
74,40,5,2021-09-01 15:06,2021-09-01 15:10,0000-00-00 00:00:00,2021-09-01
75,20,5,2021-09-01 15:06,2021-09-01 15:12,0000-00-00 00:00:00,2021-09-01
76,30,5,2021-09-01 15:08,2021-09-01 15:13,0000-00-00 00:00:00,2021-09-01
77,50,5,2021-09-01 15:09,2021-09-01 15:13,0000-00-00 00:00:00,2021-09-01
78,40,5,2021-09-01 15:10,2021-09-01 15:17,0000-00-00 00:00:00,2021-09-01
79,30,5,2021-09-01 15:13,2021-09-01 15:18,0000-00-00 00:00:00,2021-09-01
80,20,5,2021-09-01 15:12,2021-09-01 15:18,0000-00-00 00:00:00,2021-09-01
81,50,5,2021-09-01 15:13,2021-09-01 15:22,0000-00-00 00:00:00,2021-09-01
82,20,5,2021-09-01 15:18,2021-09-01 15:22,0000-00-00 00:00:00,2021-09-01
83,90,5,2021-09-01 15:18,2021-09-01 15:22,0000-00-00 00:00:00,2021-09-01
84,30,5,2021-09-01 15:18,2021-09-01 15:23,0000-00-00 00:00:00,2021-09-01
85,40,5,2021-09-01 15:17,2021-09-01 15:23,0000-00-00 00:00:00,2021-09-01
86,20,5,2021-09-01 15:22,2021-09-01 15:27,0000-00-00 00:00:00,2021-09-01
87,90,5,2021-09-01 15:22,2021-09-01 15:27,0000-00-00 00:00:00,2021-09-01
88,30,5,2021-09-01 15:23,2021-09-01 15:28,0000-00-00 00:00:00,2021-09-01
89,40,5,2021-09-01 15:23,2021-09-01 15:28,0000-00-00 00:00:00,2021-09-01
90,90,5,2021-09-01 15:27,2021-09-01 15:32,0000-00-00 00:00:00,2021-09-01
91,30,5,2021-09-01 15:28,2021-09-01 15:32,0000-00-00 00:00:00,2021-09-01
92,90,5,2021-09-01 15:32,2021-09-01 15:37,0000-00-00 00:00:00,2021-09-01
93,30,5,2021-09-01 15:32,2021-09-01 15:37,0000-00-00 00:00:00,2021-09-01
94,50,5,2021-09-01 15:33,2021-09-01 15:38,0000-00-00 00:00:00,2021-09-01
95,90,5,2021-09-01 15:37,2021-09-01 15:41,0000-00-00 00:00:00,2021-09-01
96,50,5,2021-09-01 15:38,2021-09-01 15:42,0000-00-00 00:00:00,2021-09-01
97,40,5,2021-09-01 15:28,2021-09-01 15:43,0000-00-00 00:00:00,2021-09-01
98,90,5,2021-09-01 15:41,2021-09-01 15:46,0000-00-00 00:00:00,2021-09-01
99,50,5,2021-09-01 15:42,2021-09-01 15:47,0000-00-00 00:00:00,2021-09-01
100,90,5,2021-09-01 15:46,2021-09-01 15:51,0000-00-00 00:00:00,2021-09-01
101,90,5,2021-09-01 15:51,2021-09-01 15:56,0000-00-00 00:00:00,2021-09-01
102,90,5,2021-09-01 15:56,2021-09-01 16:00,0000-00-00 00:00:00,2021-09-01
103,40,5,2021-09-01 15:43,2021-09-01 16:04,0000-00-00 00:00:00,2021-09-01
104,90,5,2021-09-01 16:01,2021-09-01 16:05,0000-00-00 00:00:00,2021-09-01
105,20,5,2021-09-01 15:27,2021-09-01 16:08,0000-00-00 00:00:00,2021-09-01
106,90,5,2021-09-01 16:05,2021-09-01 16:10,0000-00-00 00:00:00,2021-09-01
107,50,5,2021-09-01 15:47,2021-09-01 16:12,0000-00-00 00:00:00,2021-09-01
108,40,5,2021-09-01 16:04,2021-09-01 16:14,0000-00-00 00:00:00,2021-09-01
109,90,5,2021-09-01 16:10,2021-09-01 16:15,0000-00-00 00:00:00,2021-09-01
110,20,5,2021-09-01 16:08,2021-09-01 16:17,0000-00-00 00:00:00,2021-09-01
111,50,5,2021-09-01 16:12,2021-09-01 16:17,0000-00-00 00:00:00,2021-09-01
112,30,5,2021-09-01 15:37,2021-09-01 16:18,0000-00-00 00:00:00,2021-09-01
113,20,5,2021-09-01 16:17,2021-09-01 16:21,0000-00-00 00:00:00,2021-09-01
114,30,5,2021-09-01 16:18,2021-09-01 16:23,0000-00-00 00:00:00,2021-09-01
115,90,5,2021-09-01 16:20,2021-09-01 16:24,0000-00-00 00:00:00,2021-09-01
116,20,5,2021-09-01 16:21,2021-09-01 16:25,0000-00-00 00:00:00,2021-09-01
117,40,5,2021-09-01 16:24,2021-09-01 16:28,0000-00-00 00:00:00,2021-09-01
118,30,5,2021-09-01 16:23,2021-09-01 16:28,0000-00-00 00:00:00,2021-09-01
119,50,5,2021-09-01 16:17,2021-09-01 16:30,0000-00-00 00:00:00,2021-09-01
