no,day,kind,CAP,ROD,small,pressfit,pressfittime,passjudgment
1,2011241000,262,0.23,3.95,3.98,2.43,61.5,NG
2,2011241001,263,0.21,3.89,3.84,2.31,59.8,NG
3,2011241002,264,0.23,4.05,4.07,2.31,56.9,NG
4,2011241003,265,0.29,4.2,4.23,2.63,62.4,NG
5,2011241004,266,0.31,4.34,4.35,2.75,63.3,NG
6,2011241005,267,0.24,3.94,3.96,2.48,62.8,NG
7,2011241006,268,0.24,3.95,3.98,2.47,62.3,NG
8,2011241007,269,0.26,4.07,4.11,2.53,61.9,NG
9,2011241008,270,0.22,3.87,3.78,2.49,65.1,NG
10,2011241009,271,0.23,4,4.05,2.39,59.4,NG
11,2011241010,272,0.3,4.25,4.28,2.73,64,NG
12,2011241011,273,0.23,3.93,3.9,2.46,62.8,NG
13,2011241012,274,0.22,3.88,3.84,2.33,60.4,NG
14,2011241013,275,0.31,4.35,4.37,2.71,62.2,NG
15,2011241014,276,0.2,3.79,3.75,2.27,60.2,NG
16,2011241015,277,0.32,4.38,4.42,2.68,60.9,NG
17,2011241016,278,0.3,4.31,4.34,2.68,62,NG
18,2011241017,279,0.3,4.23,4.29,2.7,63.4,NG
19,2011241018,280,0.3,4.23,4.26,2.71,63.8,NG
20,2011241019,281,0.3,4.21,4.27,2.66,62.7,NG
21,2011241020,282,0.3,4.26,4.3,2.71,63.3,NG
22,2011241021,283,0.23,3.85,3.92,2.48,63.8,NG
23,2011241022,284,0.23,3.94,3.96,2.41,61,NG
24,2011241023,285,0.31,4.39,4.43,2.62,59.4,NG
25,2011241024,286,0.31,4.44,4.47,2.59,58.1,NG
26,2011241025,287,0.23,3.97,4.01,2.41,60.4,NG
27,2011241026,288,0.24,3.97,3.94,2.47,62.5,NG
28,2011241027,289,0.3,4.28,4.3,2.67,62.2,NG
29,2011241028,290,0.23,3.96,3.97,2.4,60.5,NG
30,2011241029,291,0.23,3.96,3.99,2.42,60.9,NG
31,2011241030,292,0.23,4,4.03,2.41,60,NG
32,2011241031,293,0.23,4.04,4.06,2.42,59.8,NG
33,2011241032,294,0.23,3.97,4.01,2.42,60.7,NG
34,2011241033,295,0.23,4.01,4.06,2.4,59.5,NG
35,2011241034,296,0.23,3.92,3.96,2.44,61.9,NG
36,2011241035,297,0.23,4.06,4.08,2.37,58.2,NG
37,2011241036,298,0.23,3.83,3.85,2.46,64.1,NG
38,2011241037,299,0.31,4.29,4.31,2.75,64,NG
39,2011241038,300,0.26,4.13,4.16,2.52,60.8,NG
40,2011241039,301,0.33,4.49,4.51,2.78,61.8,NG
41,2011241040,302,0.33,4.49,4.5,2.75,61.2,NG
42,2011241041,303,0.33,4.49,4.55,2.76,61.1,NG
43,2011241042,304,0.26,3.99,4.02,2.61,65.2,NG
44,2011241043,305,0.26,4.19,4.24,2.46,58.4,NG
45,2011241044,306,0.32,4.34,4.37,2.75,63.1,NG
46,2011241045,307,0.29,4.24,4.26,2.65,62.4,NG
47,2011241046,308,0.32,4.35,4.42,2.71,61.8,NG
48,2011241047,309,0.32,4.36,4.38,2.79,63.8,NG
49,2011241048,310,0.25,4,4.03,2.54,63.3,NG
50,2011241049,311,0.29,4.33,4.37,2.64,60.7,NG
51,2011241050,312,0.24,4.02,4.03,2.45,60.9,NG
52,2011241051,313,0.23,3.93,3.95,2.44,61.9,NG
53,2011241052,314,0.32,4.45,4.48,2.72,60.9,NG
54,2011241053,315,0.22,3.93,3.89,2.41,61.6,NG
55,2011241054,316,0.22,3.91,3.88,2.31,59.3,NG
56,2011241055,317,0.3,4.3,4.33,2.63,61,NG
57,2011241056,318,0.3,4.43,4.38,2.61,59.3,NG
58,2011241057,319,0.3,4.25,4.28,2.67,62.6,NG
59,2011241058,320,0.3,4.28,4.32,2.71,63,NG
60,2011241059,321,0.3,4.25,4.29,2.7,63.2,NG
61,2011241060,322,0.35,4.54,4.59,2.78,60.9,NG
62,2011241061,323,0.3,4.23,4.27,2.66,62.6,NG
63,2011241062,324,0.3,4.29,4.32,2.69,62.5,NG
64,2011241063,325,0.3,4.3,4.33,2.68,62.1,NG
65,2011241064,326,0.42,4.78,4.84,2.96,61.5,NG
66,2011241065,327,0.28,4.19,4.22,2.58,61.4,NG
67,2011241066,328,0.32,4.39,4.42,2.73,62,NG
68,2011241067,329,0.31,4.33,4.3,2.73,63.3,NG
69,2011241068,330,0.31,4.35,4.32,2.68,61.8,NG
70,2011241069,331,0.24,4.01,4.03,2.44,60.7,NG
71,2011241070,332,0.24,3.97,4,2.45,61.5,NG
72,2011241071,333,0.3,4.29,4.27,2.7,63.1,NG
73,2011241072,334,0.3,4.28,4.24,2.68,62.9,NG
74,2011241073,335,0.3,4.29,4.25,2.67,62.5,NG
75,2011241074,336,0.3,4.28,4.26,2.72,63.7,NG
76,2011241075,337,0.26,4.19,4.22,2.49,59.2,NG
77,2011241076,338,0.26,4.15,4.23,2.51,59.9,NG
78,2011241077,339,0.26,4.08,4.13,2.56,62.4,NG
79,2011241078,340,0.26,4.01,4.05,2.53,62.8,NG
80,2011241079,341,0.26,4.06,4.09,2.55,62.6,NG
81,2011241080,342,0.26,4,4.04,2.55,63.4,NG
82,2011241081,343,0.26,4.03,4.12,2.53,62.1,NG
83,2011241082,344,0.26,4.02,4.06,2.54,62.9,NG
84,2011241083,345,0.38,4.65,4.67,2.87,61.6,NG
85,2011241084,346,0.26,4.22,4.25,2.45,57.9,NG
86,2011241085,347,0.24,3.95,3.92,2.45,62.3,NG
87,2011241086,348,0.24,4.01,3.96,2.44,61.2,NG
88,2011241087,349,0.24,4.02,4,2.44,60.8,NG
89,2011241088,350,0.24,4.07,4.04,2.46,60.7,NG
90,2011241089,351,0.32,4.35,4.33,2.73,62.9,NG
91,2011241090,352,0.7,5.7,5.72,3.57,62.5,OK
92,2011241091,353,0.86,6.45,6.33,3.52,55.1,OK
93,2011241092,354,0.7,5.7,5.67,3.5,61.6,OK
94,2011241093,355,0.71,5.68,5.73,3.56,62.4,OK
95,2011241094,356,0.78,5.81,5.85,3.72,63.8,OK
96,2011241095,357,0.7,5.85,5.9,3.38,57.5,OK
97,2011241096,358,0.7,5.71,5.76,3.4,59.4,OK
98,2011241097,359,0.96,6.27,5.95,4.07,66.3,OK
99,2011241098,360,0.73,5.77,5.78,3.56,61.6,OK
100,2011241099,361,0.8,5.97,5.93,3.66,61.5,OK
